"","file_stem","X","articles","url","volume","issue","page","p_values_reported","p_values_reported_less_05","volume_factor"
"1","1_1_103",141,"jneuro;1/1/103","1/1/103",1,1,103,0,0,"1"
"2","1_1_107",142,"jneuro;1/1/107","1/1/107",1,1,107,0,0,"1"
"3","1_1_27",133,"jneuro;1/1/27","1/1/27",1,1,27,0,0,"1"
"4","1_1_3",132,"jneuro;1/1/3","1/1/3",1,1,3,0,0,"1"
"5","1_1_40",134,"jneuro;1/1/40","1/1/40",1,1,40,4,2,"1"
"6","1_1_49",135,"jneuro;1/1/49","1/1/49",1,1,49,30,8,"1"
"7","1_1_60",136,"jneuro;1/1/60","1/1/60",1,1,60,0,0,"1"
"8","1_1_72",137,"jneuro;1/1/72","1/1/72",1,1,72,3,2,"1"
"9","1_1_80",138,"jneuro;1/1/80","1/1/80",1,1,80,0,0,"1"
"10","1_1_83",139,"jneuro;1/1/83","1/1/83",1,1,83,0,0,"1"
"11","1_1_94",140,"jneuro;1/1/94","1/1/94",1,1,94,0,0,"1"
"12","1_10_1069",24,"jneuro;1/10/1069","1/10/1069",1,10,1069,0,0,"1"
"13","1_10_1075",25,"jneuro;1/10/1075","1/10/1075",1,10,1075,0,0,"1"
"14","1_10_1085",26,"jneuro;1/10/1085","1/10/1085",1,10,1085,0,0,"1"
"15","1_10_1096",27,"jneuro;1/10/1096","1/10/1096",1,10,1096,0,0,"1"
"16","1_10_1103",28,"jneuro;1/10/1103","1/10/1103",1,10,1103,0,0,"1"
"17","1_10_1113",29,"jneuro;1/10/1113","1/10/1113",1,10,1113,3,1,"1"
"18","1_10_1117",30,"jneuro;1/10/1117","1/10/1117",1,10,1117,0,0,"1"
"19","1_10_1133",31,"jneuro;1/10/1133","1/10/1133",1,10,1133,0,0,"1"
"20","1_10_1142",32,"jneuro;1/10/1142","1/10/1142",1,10,1142,3,3,"1"
"21","1_10_1148",33,"jneuro;1/10/1148","1/10/1148",1,10,1148,0,0,"1"
"22","1_10_1155",34,"jneuro;1/10/1155","1/10/1155",1,10,1155,0,0,"1"
"23","1_10_1163",35,"jneuro;1/10/1163","1/10/1163",1,10,1163,0,0,"1"
"24","1_10_1180",36,"jneuro;1/10/1180","1/10/1180",1,10,1180,0,0,"1"
"25","1_11_1193",11,"jneuro;1/11/1193","1/11/1193",1,11,1193,0,0,"1"
"26","1_11_1205",12,"jneuro;1/11/1205","1/11/1205",1,11,1205,0,0,"1"
"27","1_11_1211",13,"jneuro;1/11/1211","1/11/1211",1,11,1211,6,4,"1"
"28","1_11_1218",14,"jneuro;1/11/1218","1/11/1218",1,11,1218,0,0,"1"
"29","1_11_1236",15,"jneuro;1/11/1236","1/11/1236",1,11,1236,0,0,"1"
"30","1_11_1242",16,"jneuro;1/11/1242","1/11/1242",1,11,1242,0,0,"1"
"31","1_11_1260",17,"jneuro;1/11/1260","1/11/1260",1,11,1260,0,0,"1"
"32","1_11_1268",18,"jneuro;1/11/1268","1/11/1268",1,11,1268,0,0,"1"
"33","1_11_1279",19,"jneuro;1/11/1279","1/11/1279",1,11,1279,0,0,"1"
"34","1_11_1289",20,"jneuro;1/11/1289","1/11/1289",1,11,1289,0,0,"1"
"35","1_11_1304",21,"jneuro;1/11/1304","1/11/1304",1,11,1304,4,3,"1"
"36","1_11_1312",22,"jneuro;1/11/1312","1/11/1312",1,11,1312,0,0,"1"
"37","1_11_1320",23,"jneuro;1/11/1320","1/11/1320",1,11,1320,1,0,"1"
"38","1_12_1331",1,"jneuro;1/12/1331","1/12/1331",1,12,1331,2,2,"1"
"39","1_12_1347",2,"jneuro;1/12/1347","1/12/1347",1,12,1347,2,2,"1"
"40","1_12_1354",3,"jneuro;1/12/1354","1/12/1354",1,12,1354,1,0,"1"
"41","1_12_1361",4,"jneuro;1/12/1361","1/12/1361",1,12,1361,0,0,"1"
"42","1_12_1369",5,"jneuro;1/12/1369","1/12/1369",1,12,1369,0,0,"1"
"43","1_12_1388",6,"jneuro;1/12/1388","1/12/1388",1,12,1388,3,1,"1"
"44","1_12_1397",7,"jneuro;1/12/1397","1/12/1397",1,12,1397,0,0,"1"
