"article_key","test_text","p_value","p_comp","section","start","end","one_previous"
"1_12_1331","7194.     p = 0.0002d + 3.4227","2e-04","=","10","2908","2918"," "
"1_12_1331","= 15, and p = 0.0003 (density)","3e-04","=","15","5199","5209"," "
"1_12_1347","ions (* = p < 0.001).        ","0.001","<","3","2377","2386"," "
"1_12_1347","ject (* = p < 0.01; ** = p
 ","0.01","<","3","6478","6486"," "
"1_12_1354","n        (p > 0.05). Figure ","0.05",">","4","4213","4221","("
"1_12_1388",", SEM; X, p < 0.01.         ","0.01","<","4","2957","2965"," "
"1_12_1388",", SEM; X, p < 0.05.
        ","0.05","<","4","4611","4619"," "
"1_12_1388","SEM.
    bp < 0.05.

latter ","0.05","<","7","4105","4113","b"
"1_12_1407","     80%, p < 0.01) and of P","0.01","<","4","4554","4562"," "
"1_12_1407","7 to 30%, p < 0.01)
protein ","0.01","<","4","4596","4604"," "
"1_12_1407","ol side, *p = 0.05; **p < 0.","0.05","=","5","2272","2280","*"
"1_12_1407","= 0.05; **p < 0.02; ***p < 0","0.02","<","5","2284","2292","*"
"1_12_1407"," 0.02; ***p < 0.005 (matched ","0.005","<","5","2297","2306","*"
"1_12_1426","n = 12.3; p < 0.01). Moreove","0.01","<","3","3468","3476"," "
"1_12_1426","16.7 set; p < 0.005). These f","0.005","<","3","3641","3650"," "
"1_12_1426"," scores ( p < 0.05), whereas","0.05","<","3","3856","3864"," "
"1_12_1426","11.6 set; p < 0.005). Once ag","0.005","<","4","677","686"," "
"1_12_1426","t scores (p < 0.025), while u","0.025","<","4","961","970","("
"1_12_1426","          p < 0.05). No othe","0.05","<","4","3994","4002"," "
"1_12_1426","training (p < 0.005). The dat","0.005","<","4","5231","5240","("
"1_12_1426","pen bars; p < 0.01) and comp","0.01","<","4","6979","6987"," "
"1_12_1426","ded bars; p < 0.05). B, Same","0.05","<","4","7045","7053"," "
"1_12_1426","pen bars; p < 0.005) and to t","0.005","<","4","7323","7332"," "
"1_12_1426","ded bars; p < 0.025).
","0.025","<","4","7381","7390"," "
"1_12_1426","mparison: p < 0.01 and p c
w","0.01","<","5","3635","3643"," "
"1_12_1426","r the
16, p < 0.05; trial 21","0.05","<","5","3942","3950"," "
"1_12_1426","trial 21, p < 0.005; trial 26","0.005","<","5","3962","3971"," "
"1_12_1426","trial 26, p < 0.025; trial 31","0.025","<","5","3983","3992"," "
"1_12_1426","al       (p < 0.05), compari","0.05","<","5","4256","4264","("
"1_12_1426","mparison: p < 0.01 and p
tri","0.01","<","5","4343","4351"," "
"1_12_1426",") groups (p < 0.005 in both c","0.005","<","5","6814","6823","("
"1_12_1426","  groups (p < 0.005), but in ","0.005","<","5","8312","8321","("
"1_12_1426","tion     (p < 0.01 and p < 0","0.01","<","6","1271","1279","("
"1_12_1426"," 0.01 and p < 0.005, respecti","0.005","<","6","1284","1293"," "
"1_12_1426","oups did (p < 0.01 and
p < 0","0.01","<","6","1564","1572","("
"1_12_1426"," 0.01 and
p < 0.005, respecti","0.005","<","6","1577","1586","
"
"1_12_1426","n = 42.9; p < 0.01 compared
","0.01","<","6","2641","2649"," "
"1_12_1426","         (p < 0.005 in both c","0.005","<","6","5589","5598","("
"1_12_1426","d groups (p < 0.01 and p < 0","0.01","<","6","6408","6416","("
"1_12_1426"," 0.01 and p < 0.005,
alone (N","0.005","<","6","6421","6430"," "
"1_12_1426","ed group (p < 0.05). Repeate","0.05","<","6","6689","6697","("
"1_12_1426"," animals (p < 0.005) but, in ","0.005","<","7","5894","5903","("
"1_12_1426","ance     (p < 0.05).
","0.05","<","7","6037","6045","("
"1_12_1426"," (N = 10; p < 0.005). In fact","0.005","<","8","412","421"," "
"1_12_1426"," animals (p < 0.005) but also","0.005","<","8","1378","1387","("
"1_12_1426"," scores ( p < 0.05; Fig. 8B)","0.05","<","8","1458","1466"," "
"1_12_1426","t scores (p < 0.05 in both c","0.05","<","8","5922","5930","("
"1_12_1426","t
scores (p < 0.005 in both c","0.005","<","8","6215","6224","("
"1_12_1426"," scores ( p < 0.005 in both c","0.005","<","8","6349","6358"," "
"1_12_1426","formance (p < 0.05). B, Both","0.05","<","9","4943","4951","("
"1_12_1426"," to TEST, p < 0.005 in both  ","0.005","<","9","5344","5353"," "
